,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye,opDate
0,22594119361,359632889283,13914999,135702877,907893807,360540783090,2015-09-08
0,38607572767,364974955542,30765443,155644246,996789544,365971745086,2015-09-09
0,25666974012,364309103755,16686214,147119791,941747016,365250850771,2015-09-10
0,21424035917,362993260509,20292656,148720818,925756756,363919017265,2015-09-11
0,23069430487,353518510882,20300294,150955801,876609403,354395120285,2015-09-14
0,18181415448,345606919457,18472073,152447942,845000006,346451919463,2015-09-15
0,25129563898,347000896835,19328003,154196794,904946243,347905843078,2015-09-16
0,31393490127,347868983179,16092559,152926768,899877756,348768860935,2015-09-17
0,22042698276,347284755690,3041200,141813513,871121963,348155877653,2015-09-18
0,27085902018,348283136964,2113112,140131825,881665269,349164802233,2015-09-21
0,31598565535,348373107279,2121641,136335618,876978020,349250085299,2015-09-22
0,26460495533,348862246310,3861672,139705445,871789392,349734035702,2015-09-23
0,25983071655,349152980691,3220636,141193577,877395639,350030376330,2015-09-24
0,24538918801,345538288563,2727330,142026954,854226871,346392515434,2015-09-25
0,21020312953,347671486613,2064687,140832113,855560394,348527047007,2015-09-28
0,19903012259,344864615171,2139094,140272468,835550189,345700165360,2015-09-29
0,15974888336,338943286646,1462000,132000463,787479419,339730766065,2015-09-30
0,32244629756,346111855937,7714011,138497640,859995782,346971851719,2015-10-08
0,29645835510,347051753251,2450376,136334515,855938047,347907691298,2015-10-09
0,45892092484,354187268018,7790786,137823946,901969466,355089237484,2015-10-12
0,37174398382,357098825623,2629897,135978806,888458456,357987284079,2015-10-13
0,36915211180,359391915344,3712982,136970012,879821283,360271736627,2015-10-14
0,43105120538,365224067914,3646991,137252866,897737421,366121805335,2015-10-15
0,49470121855,367328852147,2414445,131534357,881922699,368210774846,2015-10-16
0,52467987640,373765462867,8562173,138393756,906973353,374672436220,2015-10-19
0,50029978679,378528574870,2988185,135124631,911987824,379440562694,2015-10-20
0,59105720633,375489901292,4435127,136432823,870566320,376360467612,2015-10-21
0,50900527678,383448706603,4855754,138622162,903004763,384351711366,2015-10-22
0,59730354271,388916141368,2163000,136685536,917660635,389833802003,2015-10-23
0,61719662695,395552150573,4012838,137972814,927155450,396479306023,2015-10-26
0,54795514884,399609225675,2618764,136534393,928593701,400537819376,2015-10-27
0,50049288351,399396345382,3188309,137687979,912220060,400308565442,2015-10-28
0,43147285276,403737426794,2214244,136417678,917572978,404654999772,2015-10-29
0,46282631437,403345548720,2557223,135734202,909284203,404254832923,2015-10-30
0,40015560254,403144003168,4039300,137451420,898968381,404042971549,2015-11-02
0,32944090520,404315324117,2233414,135722986,899303465,405214627582,2015-11-03
0,58625456063,413002696228,2106904,131716504,918525655,413921221883,2015-11-04
0,75025127975,418730772360,3923923,131138232,926888761,419657661121,2015-11-05
0,67712813429,423487140458,3427380,131328441,939780185,424426920643,2015-11-06
0,79227993216,435188104397,2628384,130419403,952042853,436140147250,2015-11-09
0,72584549843,442288018676,2232072,130176661,945441429,443233460105,2015-11-10
0,68483121894,451324319084,3360241,131922885,959948566,452284267650,2015-11-11
0,74421219226,459002047278,3109448,131755190,969466075,459971513353,2015-11-12
0,64766100620,460187358032,5551776,132408128,994095983,461181454015,2015-11-13
0,53426266692,467176090609,5695276,132486836,973087581,468149178190,2015-11-16
0,77714136961,475381816828,4990438,133669638,997201843,476379018671,2015-11-17
0,54364966050,477349511755,4866708,134138304,995247801,478344759556,2015-11-18
0,54289681696,485644150604,3485861,132728546,981356613,486625507217,2015-11-19
0,68290597656,491440514083,3061830,131855974,976106964,492416621047,2015-11-20
0,53843881006,490147834279,3140057,121150442,937738648,491085572927,2015-11-23
0,43353366738,492829839713,3110419,121260173,934604725,493764444438,2015-11-24
0,55171032986,496304416380,4316971,123105237,961705079,497266121459,2015-11-25
0,56213525840,495778002956,4130580,124710432,972344450,496750347406,2015-11-26
0,53092359016,486736416738,3952700,121472609,885356944,487621773682,2015-11-27
0,47544815523,487543764636,5083332,119345077,879532864,488423297500,2015-11-30
0,41601546354,487667944960,5362871,120100650,891224862,488559169822,2015-12-01
0,40637352951,485085117143,4989614,120468009,918028139,486003145282,2015-12-02
0,40676585082,483730213419,4330228,121467804,930475040,484660688459,2015-12-03
0,37146465107,474977818244,3421343,121611569,923588888,475901407132,2015-12-04
0,35250842227,474630636414,4045928,123253495,934628088,475565264502,2015-12-07
0,35488239993,472048221063,2226853,122773614,907390333,472955611396,2015-12-08
0,34445027375,472249644756,2638696,122326692,912006867,473161651623,2015-12-09
0,36841180329,471863708372,3443300,122750845,908803148,472772511520,2015-12-10
0,31421945321,472008128192,1711100,119160496,880977348,472889105540,2015-12-11
0,38056397286,478558726084,5207998,121182285,917238211,479475964295,2015-12-14
0,42274898089,481713512936,2314708,118895754,904190935,482617703871,2015-12-15
0,41631227886,484382867758,3757434,118330209,904179374,485287047132,2015-12-16
0,53713649727,485113301374,4419017,120089660,936500857,486049802231,2015-12-17
0,49882785320,486032494977,1627800,117769384,921773140,486954268117,2015-12-18
0,51345983971,490468237765,4498014,119027702,952493906,491420731671,2015-12-21
0,48854384881,495890928603,2575144,115832390,926527770,496817456373,2015-12-22
0,56109064366,500868791669,3085829,114362798,917376486,501786168155,2015-12-23
0,40347912680,504024962717,3549340,107896718,873203631,504898166348,2015-12-24
0,35973896938,504772214499,3167479,98499646,831311445,505603525944,2015-12-25
0,39418250747,495635892706,9551646,104260681,832785094,496468677800,2015-12-28
0,32431827367,497070382702,6192742,102851090,847486717,497917869419,2015-12-29
0,34651073314,497704960328,4676100,103914382,858381242,498563341570,2015-12-30
0,30116089614,490784946519,6672435,107160539,849511267,491634457786,2015-12-31
